epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1587.17,1.57625,2.65183,1.33562,0.54959,0.32075,0.35301,0.19047,1.64503,2.70888,1.43206,0.00024543,0.00024543,0.00024543
2,2915.89,1.58054,1.94824,1.34604,0.28154,0.36546,0.2439,0.12039,1.84252,2.76664,1.65571,0.000483452,0.000483452,0.000483452
3,4194.24,1.60896,1.90446,1.36159,0.21142,0.25197,0.15572,0.07145,1.96705,8.03223,1.93539,0.000704675,0.000704675,0.000704675
4,5427.7,1.68345,1.86571,1.41668,0.23404,0.27982,0.16133,0.07494,1.92754,3.70895,1.7969,0.000819009,0.000819009,0.000819009
5,6658.82,1.65335,1.79555,1.41541,0.34159,0.37165,0.25591,0.13085,1.81671,3.6635,1.6815,0.000789012,0.000789012,0.000789012
6,7886.77,1.64063,1.67887,1.3818,0.37706,0.24011,0.23413,0.11117,1.82098,3.01813,1.62425,0.000759015,0.000759015,0.000759015
7,9115.64,1.61685,1.60358,1.35387,0.44835,0.39942,0.36767,0.1924,1.77923,2.96609,1.58407,0.000729018,0.000729018,0.000729018
8,10359.3,1.57565,1.53079,1.36951,0.41159,0.47307,0.4012,0.2059,1.68928,1.90413,1.52614,0.000699021,0.000699021,0.000699021
9,11607.2,1.57169,1.48016,1.35066,0.36701,0.4711,0.35735,0.18211,1.77175,2.28787,1.55912,0.000669024,0.000669024,0.000669024
10,12864.6,1.55018,1.48619,1.34206,0.5348,0.54234,0.52644,0.27013,1.65353,1.72877,1.46172,0.000639027,0.000639027,0.000639027
11,14095,1.51301,1.39923,1.31155,0.50473,0.51885,0.51075,0.26666,1.63032,1.67397,1.41399,0.00060903,0.00060903,0.00060903
12,15329.4,1.48253,1.30894,1.28936,0.64834,0.46953,0.51305,0.27244,1.59408,1.49652,1.40915,0.000579033,0.000579033,0.000579033
13,16548.9,1.43315,1.26947,1.28185,0.64996,0.49294,0.51422,0.27936,1.60583,1.64697,1.41732,0.000549036,0.000549036,0.000549036
14,17756.8,1.44029,1.22384,1.27234,0.62001,0.51919,0.54452,0.29095,1.60092,1.43975,1.42451,0.000519039,0.000519039,0.000519039
15,19003.2,1.39679,1.19957,1.25935,0.71522,0.55966,0.61425,0.33865,1.57483,1.34905,1.40836,0.000489042,0.000489042,0.000489042
16,20252.4,1.37916,1.17091,1.24506,0.65607,0.5382,0.61214,0.34805,1.58091,1.49201,1.40727,0.000459045,0.000459045,0.000459045
17,21473.7,1.3397,1.11987,1.22676,0.70221,0.60237,0.63276,0.35199,1.5328,1.20295,1.3767,0.000429048,0.000429048,0.000429048
18,22708.8,1.34274,1.05073,1.22284,0.71078,0.56229,0.62543,0.3525,1.55832,1.1952,1.37939,0.000399051,0.000399051,0.000399051
19,23946.3,1.29209,1.03042,1.19177,0.67797,0.61089,0.6626,0.3823,1.52861,1.13501,1.36501,0.000369054,0.000369054,0.000369054
20,25170.9,1.30201,1.00273,1.21127,0.66287,0.59093,0.62574,0.35738,1.55388,1.18067,1.38614,0.000339057,0.000339057,0.000339057
21,26259.6,1.28487,0.95656,1.19667,0.68657,0.60697,0.64822,0.37183,1.56224,1.16535,1.41088,0.00030906,0.00030906,0.00030906
22,27346.2,1.27557,0.92621,1.20553,0.73749,0.60885,0.67259,0.39096,1.50851,1.14318,1.35911,0.000279063,0.000279063,0.000279063
23,28417.4,1.22471,0.86227,1.1631,0.71804,0.64304,0.70234,0.41111,1.47737,1.09495,1.32812,0.000249066,0.000249066,0.000249066
24,29527,1.1896,0.82015,1.1565,0.69304,0.65651,0.66993,0.39276,1.53142,1.15498,1.37214,0.000219069,0.000219069,0.000219069
25,30662.1,1.14102,0.77684,1.13924,0.76738,0.64653,0.69646,0.40843,1.49605,1.0586,1.3467,0.000189072,0.000189072,0.000189072
26,31801.9,1.14328,0.77752,1.12764,0.74734,0.68884,0.71655,0.42316,1.47781,1.02742,1.32649,0.000159075,0.000159075,0.000159075
27,32935.4,1.13207,0.73433,1.11014,0.74941,0.67386,0.71766,0.42082,1.50631,1.03561,1.36244,0.000129078,0.000129078,0.000129078
28,34056.6,1.1156,0.703,1.10201,0.80014,0.66751,0.72731,0.42437,1.49683,1.04219,1.35236,9.9081e-05,9.9081e-05,9.9081e-05
29,35168.8,1.08369,0.6715,1.08923,0.79302,0.67014,0.72434,0.4309,1.49169,1.02576,1.35124,6.9084e-05,6.9084e-05,6.9084e-05
30,36296,1.07946,0.6771,1.08267,0.80571,0.66028,0.72581,0.4443,1.47855,1.00732,1.33393,3.9087e-05,3.9087e-05,3.9087e-05
